site_type,style,component_type,has_image,has_cta,position,confidence,variant
saas_landing,modern_gradient,navbar,0,0,0,0.95,transparent
saas_landing,modern_gradient,features,0,0,1,0.8,grid_3col
saas_landing,modern_gradient,footer,0,0,2,0.9,detailed
saas_landing,modern_gradient,navbar,0,0,0,0.95,transparent
saas_landing,modern_gradient,features,0,0,1,0.8,grid_3col
saas_landing,modern_gradient,footer,0,0,2,0.9,detailed
portfolio,modern_gradient,navbar,0,0,0,0.95,transparent
portfolio,modern_gradient,features,0,0,1,0.8,grid_3col
portfolio,modern_gradient,footer,0,0,2,0.9,detailed
saas_landing,modern_gradient,hero,0,0,0,0.85,minimal_text
ecommerce,modern_gradient,navbar,0,0,0,0.95,transparent
ecommerce,modern_gradient,hero,0,1,1,0.85,centered_cta
ecommerce,modern_gradient,footer,0,0,2,0.9,detailed
blog,modern_gradient,navbar,0,0,0,0.95,transparent
blog,modern_gradient,hero,0,0,1,0.85,minimal_text
blog,modern_gradient,footer,0,0,2,0.9,detailed
saas_landing,modern_gradient,navbar,0,0,0,0.95,transparent
saas_landing,modern_gradient,hero,1,0,1,0.85,split_screen_with_image
saas_landing,modern_gradient,footer,0,0,2,0.9,detailed
blog,modern_gradient,navbar,0,0,0,0.95,transparent
blog,modern_gradient,hero,0,0,1,0.85,minimal_text
blog,modern_gradient,footer,0,0,2,0.9,detailed
blog,glassmorphism,navbar,0,0,0,0.95,solid
blog,glassmorphism,features,0,0,1,0.8,grid_3col
blog,glassmorphism,footer,0,0,2,0.9,detailed
ecommerce,minimal_clean,navbar,0,0,0,0.95,solid
ecommerce,minimal_clean,hero,0,0,1,0.85,minimal_text
ecommerce,minimal_clean,footer,0,0,2,0.9,detailed
portfolio,modern_gradient,navbar,0,0,0,0.95,transparent
blog,modern_gradient,navbar,0,0,0,0.95,transparent
portfolio,modern_gradient,navbar,0,0,0,0.95,transparent
portfolio,modern_gradient,footer,0,0,1,0.9,detailed
ecommerce,modern_gradient,hero,0,0,0,0.85,minimal_text
ecommerce,modern_gradient,features,0,0,1,0.8,grid_3col
other,minimal_clean,navbar,0,0,0,0.95,solid
other,minimal_clean,footer,0,0,1,0.9,detailed
ecommerce,modern_gradient,hero,1,0,0,0.85,split_screen_with_image
ecommerce,modern_gradient,features,0,0,1,0.8,grid_3col
blog,modern_gradient,navbar,0,0,0,0.95,transparent
blog,modern_gradient,hero,0,0,1,0.85,minimal_text
blog,modern_gradient,footer,0,0,2,0.9,detailed
ecommerce,glassmorphism,navbar,0,0,0,0.95,solid
ecommerce,glassmorphism,footer,0,0,1,0.9,detailed
saas_landing,glassmorphism,navbar,0,0,0,0.95,solid
saas_landing,glassmorphism,footer,0,0,1,0.9,detailed
saas_landing,modern_gradient,navbar,0,0,0,0.95,transparent
saas_landing,modern_gradient,hero,0,1,1,0.85,centered_cta
saas_landing,modern_gradient,features,0,0,2,0.8,grid_3col
saas_landing,modern_gradient,footer,0,0,3,0.9,detailed
saas_landing,minimal_clean,navbar,0,0,0,0.95,solid
saas_landing,minimal_clean,hero,0,0,1,0.85,minimal_text
saas_landing,minimal_clean,footer,0,0,2,0.9,detailed
ecommerce,modern_gradient,navbar,0,0,0,0.95,transparent
ecommerce,modern_gradient,footer,0,0,1,0.9,detailed
portfolio,modern_gradient,navbar,0,0,0,0.95,transparent
portfolio,modern_gradient,hero,1,0,1,0.85,split_screen_with_image
portfolio,modern_gradient,footer,0,0,2,0.9,detailed
corporate,glassmorphism,navbar,0,0,0,0.95,solid
corporate,glassmorphism,footer,0,0,1,0.9,detailed
saas_landing,dark_mode,navbar,0,0,0,0.95,solid
saas_landing,dark_mode,footer,0,0,1,0.9,detailed
corporate,modern_gradient,navbar,0,0,0,0.95,transparent
other,minimal_clean,hero,0,0,0,0.85,minimal_text
